,ticker,year,conf_rating,conf_rating_strict,env_rating,env_rating_strict,inno_rating,inno_rating_strict,people_rating,people_rating_strict
0,RGLD,2010.csv,1.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0
1,RGLD,2011.csv,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
2,RGLD,2012.csv,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0
3,RGLD,2013.csv,1.0,0.9,1.0,0.0,2.0,1.0,2.0,2.0
4,RGLD,2014.csv,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0
5,RGLD,2015.csv,0.5,1.9,1.0,1.0,2.0,1.0,2.0,1.0
6,RGLD,2017.csv,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
7,RGLD,2018.csv,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0
8,RGLD,2019.csv,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0
9,RGLD,2020.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,RGLD,2021.csv,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
11,RGLD,2022.csv,1.5,1.6,2.0,1.5,1.0,1.0,1.0,1.0
12,RGLD,2023.csv,1.9,1.6,1.9,1.6,1.0,1.5,1.0,2.0
13,AAPL,2014.csv,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0
14,AAPL,2015.csv,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0
15,AAPL,2016.csv,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0
16,AAPL,2017.csv,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0
17,AAPL,2018.csv,1.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0
18,AAPL,2019.csv,0.5,1.0,0.0,0.0,1.0,1.0,1.0,0.0
19,AAPL,2020.csv,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
20,AAPL,2021.csv,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
21,AAPL,2022.csv,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
22,AAPL,2023.csv,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
23,IBM,2019.csv,1.0,0.0,1.0,1.0,2.0,1.0,2.0,2.0
24,IBM,2020.csv,1.0,0.5,1.0,1.0,2.0,2.0,2.0,2.0
25,IBM,2021.csv,2.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0
26,IBM,2022.csv,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
27,IBM,2023.csv,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
